INFO       (BattleTechSaveEditor:<module>                      :783 ) ----- BT Save Editor v2.0.4-20200121 -----
INFO       (saveserializer      :_handleLoad                   :720 ) Starting DeSerialization
INFO       (saveserializer      :_handleLoad                   :725 ) DeSerialization complete
INFO       (saveserializer      :_loadLogItems                 :685 ) Save Edit History:
INFO       (saveserializer      :_loadLogItems                 :688 ) Added/Modified: chassisdef_hatchetman_HCT-6D of type" MechDef
INFO       (saveserializer      :_loadLogItems                 :688 ) Added/Modified: Weapon_Valiant_Mace of type" WeaponDef
INFO       (saveserializer      :_scanBattleTechData           :373 ) Scanning: C:/Games/steamapps/common/BATTLETECH
INFO       (saveserializer      :_scanBattleTechData           :400 ) Using Mod Scan Type: Modtek
INFO       (saveserializer      :_scan_assetbundles            :558 ) Processing AssetBundle: \BattleTech_Data\StreamingAssets\data\assetbundles\flashpoint
INFO       (saveserializer      :_scan_assetbundles            :558 ) Processing AssetBundle: \BattleTech_Data\StreamingAssets\data\assetbundles\urbanwarfare
INFO       (saveserializer      :_scan_assetbundles            :558 ) Processing AssetBundle: \BattleTech_Data\StreamingAssets\data\assetbundles\heavymetal
INFO       (saveserializer      :_scanBattleTechData           :406 ) Scan complete
INFO       (saveserializer      :_handleSave                   :751 ) Starting Serialization
INFO       (saveserializer      :_handleSave                   :756 ) Serialization complete
INFO       (saveserializer      :_handleSave                   :751 ) Starting Serialization
INFO       (saveserializer      :_handleSave                   :756 ) Serialization complete
